iter	Logloss
0	0.6480388387
1	0.6266381327
2	0.5976809184
3	0.5737749227
4	0.5510024007
5	0.5288553874
6	0.5133827718
7	0.5015887451
8	0.4879417928
9	0.4769925944
10	0.4633239746
11	0.4567759196
12	0.4429888916
13	0.4316890462
14	0.4258439636
15	0.417252299
16	0.4107725271
17	0.3987532806
18	0.3901074727
19	0.3780256144
20	0.3740649414
21	0.3661853536
22	0.3604886882
23	0.3561075846
24	0.3506639608
25	0.3419226837
26	0.339096578
27	0.3354351552
28	0.3289243062
29	0.3248623657
30	0.3197233073
31	0.3136331431
32	0.3099367269
33	0.3040406291
34	0.2983311462
35	0.2929653168
36	0.2857674408
37	0.2809742737
38	0.2762905884
39	0.2715001678
40	0.2672098796
41	0.2621766154
42	0.2595959473
43	0.2540749105
44	0.2498291524
45	0.2469051615
46	0.2439596558
47	0.2408910624
48	0.2391398621
49	0.2357850138
50	0.231157252
51	0.227345988
52	0.2222536214
53	0.2185605113
54	0.2163826243
55	0.2153724416
56	0.2121281179
57	0.2074811808
58	0.2048397191
59	0.2015977987
60	0.1995116679
61	0.1950146866
62	0.1931827672
63	0.1909757741
64	0.1881106567
65	0.1825898997
66	0.1804365921
67	0.1788718923
68	0.1751448949
69	0.1723083242
70	0.1693334325
71	0.1665385818
72	0.1644366709
73	0.1610837428
74	0.1578656769
75	0.1553027725
76	0.1524593608
77	0.1508445867
78	0.14865846
79	0.1459494146
80	0.1431783549
81	0.1415968577
82	0.1393382009
83	0.1375204341
84	0.1357616425
85	0.1345137914
86	0.1320174917
87	0.1295429738
88	0.1270430883
89	0.1257620494
90	0.1244776662
91	0.122502416
92	0.1201462301
93	0.1186491394
94	0.1175508753
95	0.1150835037
96	0.1139253235
97	0.1124247487
98	0.1104376984
99	0.1097952271
