iter	Passed	Remaining
0	3	340
1	5	278
2	7	237
3	9	232
4	11	219
5	13	215
6	15	205
7	17	195
8	18	186
9	19	179
10	21	173
11	23	169
12	25	168
13	27	167
14	29	165
15	31	164
16	33	162
17	35	159
18	36	156
19	38	154
20	40	152
21	42	150
22	44	149
23	46	146
24	47	143
25	49	140
26	50	137
27	52	135
28	54	132
29	56	130
30	57	128
31	59	126
32	61	124
33	63	122
34	65	121
35	67	119
36	68	117
37	70	115
38	72	113
39	74	111
40	76	109
41	77	107
42	79	105
43	81	103
44	83	101
45	85	99
46	86	98
47	88	95
48	90	94
49	92	92
50	93	90
51	95	88
52	97	86
53	98	84
54	100	82
55	102	80
56	103	78
57	105	76
58	106	74
59	108	72
60	109	70
61	111	68
62	113	66
63	115	64
64	116	62
65	118	60
66	119	59
67	121	57
68	122	55
69	124	53
70	126	51
71	127	49
72	129	47
73	131	46
74	132	44
75	134	42
76	136	40
77	137	38
78	139	37
79	141	35
80	143	33
81	145	31
82	146	30
83	148	28
84	150	26
85	151	24
86	153	22
87	155	21
88	157	19
89	158	17
90	160	15
91	162	14
92	163	12
93	165	10
94	167	8
95	169	7
96	171	5
97	172	3
98	174	1
99	176	0
